date,tmin,tmax
2020-01-22,9.0,17.0
2020-01-23,6.0,17.0
2020-01-24,7.0,15.0
2020-01-25,8.0,16.0
2020-01-26,7.0,16.0
2020-01-27,6.0,16.0
2020-01-28,5.0,16.0
2020-01-29,6.0,12.0
2020-01-30,5.0,16.0
2020-01-31,5.0,18.0
2020-02-01,5.0,17.0
2020-02-02,5.0,16.0
2020-02-03,0.0,12.0
2020-02-04,-1.0,11.0
2020-02-05,0.0,13.0
2020-02-06,2.0,16.0
2020-02-07,3.0,19.0
2020-02-08,4.0,20.0
2020-02-09,3.0,15.0
2020-02-10,1.0,16.0
2020-02-11,2.0,18.0
2020-02-12,3.5,19.5
2020-02-13,5.0,21.0
2020-02-14,4.0,20.0
2020-02-15,5.0,20.0
2020-02-16,6.0,21.0
2020-02-17,6.0,18.0
2020-02-18,7.0,20.0
2020-02-19,5.0,20.0
2020-02-20,5.0,23.0
2020-02-21,8.0,20.5
2020-02-22,11.0,18.0
2020-02-23,8.0,19.0
2020-02-24,7.95,19.025
2020-02-25,7.9,19.05
2020-02-26,7.85,19.075
2020-02-27,7.8,19.1
2020-02-28,7.75,19.125
2020-02-29,7.7,19.15
2020-03-01,7.65,19.175
2020-03-02,7.6,19.2
2020-03-03,7.55,19.225
2020-03-04,7.5,19.25
2020-03-05,7.45,19.275
2020-03-06,7.4,19.3
2020-03-07,7.35,19.325
2020-03-08,7.3,19.35
2020-04-03,6.0,20.0
2020-04-04,9.0,17.5
2020-04-05,12.0,15.0
2020-04-06,7.0,16.0
2020-04-07,7.0,18.0
2020-04-08,10.0,15.0
2020-04-09,9.0,15.0
2020-04-10,7.0,19.0
2020-04-11,10.0,21.0
2020-04-12,11.0,23.0
2020-04-13,12.0,22.0
2020-04-14,10.0,24.0
2020-04-15,12.0,26.0
2020-04-16,12.0,25.25
2020-04-17,12.0,24.5
2020-04-18,12.0,23.75
2020-04-19,12.0,23.0
2020-04-20,12.0,17.0
2020-04-21,13.333333333333334,21.0
2020-04-22,14.666666666666666,25.0
2020-04-23,16.0,29.0
2020-04-24,15.0,30.0
2020-04-25,16.0,32.0
2020-04-26,17.0,31.0
